track_name,lyrics,album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity
22,it feels like a perfect night to dress up like hipsters and make fun of our exes uh uh uh uh it feels like a perfect night for breakfast at midnight to fall in love with strangers uh uh uh uh yeah we re happy free confused and lonely at the same time it s miserable and magical oh yeah tonight s the night when we forget about the deadlines it s time uh uh i don t know about you but i m feeling 22 everything will be alright if you keep me next to you you don t know about me but i bet you wanted to everything will be alright if we just keep dancing like we re 22 22 it seems like one of those nights this place is too crowded too many cool kids uh uh uh uh who s taylor swift anyway ew it seems like one of those nights we ditch the whole scene and end up dreaming instead of sleeping yeah we re happy free confused and lonely in the best way it s miserable and magical oh yeah tonight s the night when we forget about the heartbreaks it s time oh oh i don t know about you but i m feeling 22 everything will be alright if you keep me next to you you don t know about me but i bet you wanted to everything will be alright if we just keep dancing like we re 22 22 i don t know about you 22 22 it feels like one of those nights we ditch the whole scene it feels like one of those nights we won t be sleeping it feels like one of those nights you look like bad news i gotta have you i gotta have you i don t know about you but i m feeling 22 everything will be alright if you keep me next to you you don t know about me but i bet you wanted to everything will be alright if we just keep dancing like we re 22 22 dancing like 22 yeah 22 yeah yeah it feels like one of those nights we ditch the whole scene it feels like one of those nights we won t be sleeping it feels like one of those nights you look like bad news i gotta have you i gotta have you,3wIMFmK0VylpfH0tm6nEeU,Red,https://i.scdn.co/image/d2e3717dba253e1d02aeff23d3e184a3bc1fcfaa,2012-10-22,2012-10-22,64,6KWG1FNvABpaH4FN6Wkbzk,0.666,0.734,G,-6.535,major,0.0382,0.00267,0.00127,0.0465,0.694,103.976,232120,4,G major,63
All Too Well,i walked through the door with you the air was cold but something bout it felt like home somehow and ileft my scarf there at your sister s house and you ve still got it in your drawer even now oh your sweet disposition and my wide eyed gaze we re singing in a car getting lost upstate the autumn leaves falling down like pieces into place and i can picture it after all these days and i know it s long gone and that magic s not here no more and i might be okay but i m not fine at all cause there we are again on that little town street you almost ran the red cause you were looking over at me wind in my hair i was there i remember it all too well photo album on the counter your cheeks were turning red you used to be a little kid with glasses in a twin sized bed and your mother s telling stories bout you on the tee ball team you taught me about your past thinking your future was me and i know it s long gone and there was nothing else i could do and i forget about you long enough to forget why i needed to cause there we are again in the middle of the night we re dancing round the kitchen in the refrigerator light down the stairs i was there i remember it all too well yeah and maybe we got lost in translation maybe i asked for too much but maybe this thing was a masterpiece till you tore it all up running scared i was there i remember it all too well and you call me up again just to break me like a promise so casually cruel in the name of being honest i m a crumpled up piece of paper lying here cause i remember it all all all too well time won t fly it s like i m paralyzed by it i d like to be my old self again but i m still trying to find it after plaid shirt days and nights when you made me your own now you mail back my things and i walk home alone but you keep my old scarf from that very first week cause it reminds you of innocence and it smells like me you can t get rid of it cause you remember it all too well yeah because there we are again when i loved you so back before you lost the one real thing you ve ever known it was rare i was there i remember it all too well wind in my hair you were there you remember it all down the stairs you were there you remember it all it was rare i was there i remember it all too well,3wIMFmK0VylpfH0tm6nEeU,Red,https://i.scdn.co/image/d2e3717dba253e1d02aeff23d3e184a3bc1fcfaa,2012-10-22,2012-10-22,64,7uuRGDiw1LeGBVGjGlQIlq,0.601,0.639,C,-7.785,major,0.0255,0.0375,3.75e-4,0.129,0.289,93.072,329160,4,C major,56
All You Had To Do Was Stay,people like you always want back the love they gave away and people like me wanna believe you when you say you ve changed the more i think about it now the less i know all i know is that you drove us off the road stay hey all you had to do was stay had me in the palm of your hand then why d you have to go and lock me out when i let you in stay hey now you say you want it back now that it s just too late well could ve been easy all you had to do was stay all you had to do was stay all you had to do was stay all you had to do was stay all you had to do was stay here you are now calling me up but i don t know what to say i ve been picking up the pieces of the mess you made people like you always want back the love they pushed aside but people like me are gone forever when you say goodbye stay hey all you had to do was stay had me in the palm of your hand then why d you have to go and lock me out when i let you in stay hey now you say you want it back now that it s just too late well could ve been easy all you had to do was stay all you had to do was stay all you had to do was stay all you had to do was stay stay stay stay stay let me remind you this was what you wanted oh oh oh oh oh you ended it you were all i wanted oh oh oh oh oh but not like this not like this not like this oh all you had to do was stay hey all you had to do was stay had me in the palm of your hand then why d you want to go and lock me out when i let you in stay hey now you say you want it back now that it s just too late well could ve been easy all you had to do was stay hey all you had to do was stay had me in the palm of your hand then why d you have to go and lock me out when i let you in stay hey now you say you want it back now that it s just too late all you had to do was stay well could ve been easy all you had to do was stay all you had to do was stay ahh ooh all you had to do was stay all you had to do was stay oo oo whoa all you had to do was stay,4uUAUqIfSomFTbbjGp3TYp,1989,https://i.scdn.co/image/d6c5c97ebdab865796bfe6df314399de09ad192a,2014-10-27,2014-10-27,44,4i9dEGgLlZdSmR4lPXRYiS,0.602,0.735,F,-5.778,major,0.0337,0.00196,4.77e-5,0.105,0.472,96.969,193293,4,F major,32
A Perfectly Good Heart,why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart maybe i should ve seen the signs should ve read the writing on the wall and realized by the distance in your eyes that i would be the one to fall no matter what you say i still can t believe that you would walk away it don t make sense to me but why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart it s not unbroken anymore how do i get it back the way it was before why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart,7mzrIsaAjnXihW3InKjlC3,Taylor Swift,https://i.scdn.co/image/9f531a0aee2a96f2666774352b2cfb9284938dc3,2006-10-24,2006-10-24,61,1spLfUJxtyVyiKKTegQ2r4,0.477,0.735,E,-5.686,major,0.0346,0.00502,0,0.128,0.326,156.035,220147,4,E major,45
A Place In This World,i don t know what i want so don t ask me cause i m still trying to figure it out don t know what s down this road i m just walking trying to see through the rain coming down even though i m not the only one who feels the way i do i m alone on my own and that s all i know i ll be strong i ll be wrong oh but life goes on oh i m just a girl trying to find a place in this world got the radio on my old blue jeans and i m wearing my heart on my sleeve feeling lucky today got the sunshine could you tell me what more do i need and tomorrow s just a mystery oh yeah but that s ok i m alone on my own and that s all i know i ll be strong i ll be wrong oh but life goes on oh i m just a girl trying to find a place in this world maybe i m just a girl on a mission but i m ready to fly i m alone on my own and that s all i know i ll be strong i ll be wrong oh but life goes on oh i m alone on my own and that s all i know oh i m just a girl trying to find a place in this world oh i m just a girl oh i m just a girl oh oh oh i m just a girl,7mzrIsaAjnXihW3InKjlC3,Taylor Swift,https://i.scdn.co/image/9f531a0aee2a96f2666774352b2cfb9284938dc3,2006-10-24,2006-10-24,61,73OX8GdpOeGzKC6OvGSbsv,0.58,0.781,A,-2.788,major,0.0305,0.0625,0,0.317,0.386,115.012,199200,4,A major,49
Back To December,i m so glad you made time to see me how s life tell me how s your family i haven t seen them in a while you ve been good busier than ever we small talk work and the weather your guard is up and i know why cause the last time you saw me is still burned in the back of your mind you gave me roses and i left them there to die so this is me swallowing my pride standing in front of you saying i m sorry for that night and i d go back to december all the time it turns out freedom ain t nothing but missing you wishing i d realized what i had when you were mine i d go back to december turn around and make it alright i go back to december all the time these days i haven t been sleeping staying up playing back myself leaving when your birthday passed and i didn t call and i think about summer all the beautiful times i watched you laughing from the passenger side and realized i loved you in the fall and then the cold came the dark days when fear crept into my mind you gave me all your love and all i gave you was goodbye so this is me swallowing my pride standing in front of you saying i m sorry for that night and i d go back to december all the time it turns out freedom ain t nothing but missing you wishing i d realized what i had when you were mine i d go back to december turn around and change my own mind i go back to december all the time i miss your tan skin your sweet smile so good to me so right and how you held me in your arms that september night the first time you ever saw me cry maybe this is wishful thinking probably mindless dreaming but if we loved again i swear i d love you right i d go back in time and change it but i can t so if the chain is on your door i understand but this is me swallowing my pride standing in front of you saying i m sorry for that night and i d go back to december it turns out freedom ain t nothing but missing you wishing i d realized what i had when you were mine i d go back to december turn around and make it alright i d go back to december turn around and change my own mind i go back to december all the time all the time,5MfAxS5zz8MlfROjGQVXhy,Speak Now,https://i.scdn.co/image/7c6317c312d12c72bb9f7c06ccd57e23bba178ea,2010-01-01,2010-01-01,58,3DrjZArsPsoqbLzUZZV1Id,0.527,0.667,D,-4.662,major,0.0288,0.121,0,0.415,0.313,141.901,293027,4,D major,60
Bad Blood,cause baby now we ve got bad blood you know it used to be mad love so take a look what you ve done cause baby now we ve got bad blood hey now we ve got problems and i don t think we can solve em you made a really deep cut and baby now we ve got bad blood hey did you have to do this i was thinking that you could be trusted did you have to ruin what was shiny now it s all rusted did you have to hit me where i m weak baby i couldn t breathe and rub it in so deep salt in the wound like you re laughing right at me oh it s so sad to think about the good times you and i cause baby now we ve got bad blood you know it used to be mad love so take a look what you ve done cause baby now we ve got bad blood hey now we ve got problems and i don t think we can solve em you made a really deep cut and baby now we ve got bad blood hey did you think we d be fine still got scars in my back from your knives so don t think it s in the past these kind of wounds they last and they last now did you think it all through all these things will catch up to you and time can heal but this won t so if you come in my way just don t oh it s so sad to think about the good times you and i cause baby now we ve got bad blood you know it used to be mad love so take a look what you ve done cause baby now we ve got bad blood hey now we ve got problems and i don t think we can solve em you made a really deep cut and baby now we ve got bad blood hey band aids don t fix bullet holes you say sorry just for show you live like that you live with ghosts band aids don t fix bullet holes you say sorry just for show if you live like that you live with ghosts if you love like that blood runs cold cause baby now we ve got bad blood you know it used to be mad love so take a look what you ve done cause baby now we ve got bad blood hey now we ve got problems and i don t think we can solve em you made a really deep cut and baby now we ve got bad blood hey cause baby now we ve got bad blood you know it used to be mad love so take a look what you ve done cause baby now we ve got bad blood hey now we ve got problems and i don t think we can solve em you made a really deep cut and baby now we ve got bad blood hey,4uUAUqIfSomFTbbjGp3TYp,1989,https://i.scdn.co/image/d6c5c97ebdab865796bfe6df314399de09ad192a,2014-10-27,2014-10-27,44,2Twii5CeqM86JxSrnPgydn,0.652,0.802,G,-6.114,major,0.181,0.0871,6.45e-6,0.148,0.295,170.157,211933,4,G major,34
Begin Again,took a deep breath in the mirror he didn t like it when i wore high heels but i do turn the lock and put my headphones on he always said he didn t get this song but i do i do walked in expecting you d be late but you got here early and you stand and wave i walk to you you pull my chair out and help me in and you don t know how nice that is but i do and you throw your head back laughing like a little kid i think it s strange that you think i m funny cause he never did i ve been spending the last eight months thinking all love ever does is break and burn and end but on a wednesday in a cafe i watched it begin again you said you never met one girl who had as many james taylor records as you but i do we tell stories and you don t know why i m coming off a little shy but i do and you throw your head back laughing like a little kid i think it s strange that you think i m funny cause he never did i ve been spending the last eight months thinking all love ever does is break and burn and end but on a wednesday in a cafe i watched it begin again and we walked down the block to my car and i almost brought him up but you start to talk about the movies that your family watches every single christmas and i want to talk about that and for the first time what s past is past cause you throw your head back laughing like a little kid i think it s strange that you think i m funny cause he never did i ve been spending the last eight months thinking all love ever does is break and burn and end but on a wednesday in a cafe i watched it begin again but on a wednesday in a cafe i watched it begin again,3wIMFmK0VylpfH0tm6nEeU,Red,https://i.scdn.co/image/d2e3717dba253e1d02aeff23d3e184a3bc1fcfaa,2012-10-22,2012-10-22,64,3Fr4u1hENJswlzKS7yXzk3,0.52,0.537,G,-8.28,major,0.0275,0.225,4.33e-6,0.138,0.367,78.919,239427,4,G major,56
Better Than Revenge,now go stand in the corner and think about what you did ha time for a little revenge the story starts when it was hot and it was summer and i had it all i had him right there where i wanted him she came along got him alone and let s hear the applause she took him faster than you can say sabotage i never saw it coming wouldn t have suspected it i underestimated just who i was dealing with she had to know the pain was beating on me like a drum she underestimated just who she was stealing from she s not a saint and she s not what you think she s an actress whoa she s better known for the things that she does on the mattress whoa soon she s gonna find stealing other people s toys on the playground won t make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge ha she looks at life like it s a party and she s on the list she looks at me like i m a trend and she s so over it i think her ever present frown is a little troubling and she thinks i m psycho cause i like to rhyme her name with things but sophistication isn t what you wear or who you know or pushing people down to get you where you wanna go oh they didn t teach you that in prep school so it s up to me but no amount of vintage dresses gives you dignity she s not a saint and she s not what you think she s an actress whoa she s better known for the things that she does on the mattress whoa soon she s gonna find stealing other people s toys on the playground won t make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge ha i m just another thing for you to roll your eyes at honey you might have him but haven t you heard i m just another thing for you to roll your eyes at honey you might have him but i always get the last word whoa whoa ah oh she s not a saint and she s not what you think she s an actress whoa she s better known for the things that she does on the mattress whoa soon she s gonna find stealing other people s toys on the playground won t make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge ha do you still feel like you know what you re doing cause i don t think you do oh do you still feel like you know what you re doing i don t think you do i don t think you do let s hear the applause come on show me how much better you are so much better yeah see you deserve some applause cause you re so much better she took him faster than you could say sabotage,5MfAxS5zz8MlfROjGQVXhy,Speak Now,https://i.scdn.co/image/7c6317c312d12c72bb9f7c06ccd57e23bba178ea,2010-01-01,2010-01-01,58,2ythurkTtSiyfK7GprJoFW,0.508,0.907,B,-3.039,minor,0.085,0.015,1.72e-5,0.389,0.684,145.829,217160,4,B minor,47
Blank Space,nice to meet you where you been i could show you incredible things magic madness heaven sin saw you there and i thought oh my god look at that face you look like my next mistake love s a game wanna play ayy new money suit and tie i can read you like a magazine ain t it funny rumors fly and i know you heard about me so hey let s be friends i m dyin to see how this one ends grab your passport and my hand i can make the bad guys good for a weekend so it s gonna be forever or it s gonna go down in flames you can tell me when it s over mm if the high was worth the pain got a long list of ex lovers they ll tell you i m insane cause you know i love the players and you love the game cause we re young and we re reckless we ll take this way too far it ll leave you breathless hmm or with a nasty scar got a long list of ex lovers they ll tell you i m insane but i ve got a blank space baby and i ll write your name cherry lips crystal skies i could show you incredible things stolen kisses pretty lies you re the king baby i m your queen find out what you want be that girl for a month wait the worst is yet to come oh no screaming crying perfect storms i can make all the tables turn rose garden filled with thorns keep you second guessin like oh my god who is she i get drunk on jealousy but you ll come back each time you leave cause darling i m a nightmare dressed like a daydream so it s gonna be forever or it s gonna go down in flames you can tell me when it s over mm if the high was worth the pain got a long list of ex lovers they ll tell you i m insane cause you know i love the players and you love the game cause we re young and we re reckless we ll take this way too far it ll leave you breathless hmm or with a nasty scar got a long list of ex lovers they ll tell you i m insane but i ve got a blank space baby and i ll write your name boys only want love if it s torture don t say i didn t say i didn t warn ya boys only want love if it s torture don t say i didn t say i didn t warn ya so it s gonna be forever or it s gonna go down in flames you can tell me when it s over mm if the high was worth the pain got a long list of ex lovers they ll tell you i m insane cause you know i love the players and you love the game cause we re young and we re reckless we ll take this way too far it ll leave you breathless hmm or with a nasty scar got a long list of ex lovers they ll tell you i m insane but i ve got a blank space baby and i ll write your name,4uUAUqIfSomFTbbjGp3TYp,1989,https://i.scdn.co/image/d6c5c97ebdab865796bfe6df314399de09ad192a,2014-10-27,2014-10-27,44,1vwCXIAjSkUxvn78Cmz84g,0.752,0.678,F,-5.421,major,0.0646,0.085,1.64e-6,0.13,0.583,96.009,231827,4,F major,46
